name,uses_cleaned_llm
Avastin 400mg Injection,"Avastin 400mg Injection is utilized for the treatment of various types of cancer, specifically those affecting the colon and rectum, non-small cell lung cancer, kidney, brain, ovaries, and cervix."
Augmentin 625 Duo Tablet,Augmentin 625 Duo Tablet is used for the treatment of bacterial infections.
Azithral 500 Tablet,Azithral 500 Tablet is utilized for the treatment of various bacterial infections.
Ascoril LS Syrup,Ascoril LS Syrup is utilized for the management of coughs accompanied by mucus.
Aciloc 150 Tablet,Aciloc 150 Tablet is used for the treatment of gastroesophageal reflux disease and peptic ulcer disease.
Allegra 120mg Tablet,"Allegra 120mg Tablet is utilized for managing symptoms such as sneezing and a runny nose caused by various allergens, as well as for the treatment of other related allergic conditions."
Avil 25 Tablet,"Avil 25 Tablet is utilized for managing allergic conditions, respiratory diseases that produce excessive mucus, skin conditions characterized by inflammation and itching, and Meniere's disease."
Aricep 5 Tablet,Aricept 5 Tablet is used for the treatment of Alzheimer's disease.
Amoxyclav 625 Tablet,Amoxyclav 625 Tablet is utilized for treating various bacterial infections.
Atarax 25mg Tablet,Atarax 25mg Tablet is utilized for managing anxiety symptoms and treating skin conditions associated with inflammation and itching.
Azee 500 Tablet,Azee 500 Tablet is used for the treatment of various bacterial infections.
Anovate Cream,Anovate Cream is utilized for the treatment of piles (hemorrhoids).
Allegra-M Tablet,Allegra-M Tablet is used for relieving symptoms of sneezing and a runny nose caused by allergies.
Ascoril D Plus Syrup Sugar Free,Ascoril D Plus Syrup Sugar Free is used for managing dry cough symptoms.
Alex Syrup,Alex Syrup is utilized for relieving symptoms associated with dry coughs.
Armotraz Tablet,Armotraz Tablet is utilized for the treatment of breast cancer.
Augmentin Duo Oral Suspension,"Augmentin Duo Oral Suspension is primarily used for the treatment of various bacterial infections and has applications to help combat resistance, although it's not typically indicated for treating tuberculosis."
Albendazole 400mg Tablet,Albendazole 400mg Tablet is used for the treatment of various parasitic infections.
Arkamin Tablet,Arkamin Tablet is used for managing hypertension (high blood pressure).
Allegra 180mg Tablet,"Allegra 180mg Tablet is utilized for the relief of symptoms such as sneezing and a runny nose caused by allergies, and management of various allergic conditions."
Altraday Capsule SR,Altraday Capsule SR is utilized for pain relief.
Atarax 10mg Tablet,Atarax 10mg Tablet is utilized for managing anxiety symptoms as well as treating skin conditions associated with inflammation and itching.
Aldigesic-SP Tablet,Aldigesic-SP Tablet is utilized for pain relief purposes.
Aldactone Tablet,"Aldactone Tablet is utilized for the management of hypertension (high blood pressure), edema (swelling due to fluid retention), conditions related to low potassium levels, and heart failure."
Aricep 10 Tablet,Aricept 10 Tablet is used for the treatment of Alzheimer's disease.
Aricep-M  Tablet,Aricep-M Tablet is utilized for the management of Alzheimer's disease.
Andre I-Kul Eye Drop,Andre I-Kul Eye Drop is utilized for the treatment of allergic eye diseases.
Anafortan 25 mg/300 mg Tablet,Anafortan 25 mg/300 mg Tablet is used for the relief of abdominal pain.
Atarax Syrup,Atarax Syrup is used to manage symptoms of anxiety and treat skin conditions characterized by inflammation and itching.
Ambrodil-S Syrup,Ambrodil-S Syrup is used for the alleviation of cough symptoms.
Asthakind-DX Syrup Sugar Free,Asthakind-DX Sugar Free Syrup is utilized for the relief of dry cough symptoms.
Aceclo Plus Tablet,Aceclo Plus Tablet is utilized for providing pain relief.
Althrocin 500 Tablet,Althrocin 500 Tablet is used for the treatment of various bacterial infections.
Asthalin Syrup,Asthalin Syrup is utilized for the management of chronic obstructive pulmonary disease and asthma symptoms.
Axcer  90mg Tablet,Axcer 90mg Tablet is used for the prevention and treatment of conditions related to heart attacks and strokes.
Arachitol 6L Injection,Arachitol 6L Injection is utilized for the treatment of Vitamin D deficiency and Osteoporosis.
Alfoo 10mg Tablet PR,Alfoo 10mg Tablet PR is utilized for the treatment of benign prostatic hyperplasia.
Azithral 200 Liquid,Azithral 200 Liquid is used for the treatment of various bacterial infections.
Acemiz Plus Tablet,Acemiz Plus Tablet is used for pain relief.
Allegra Suspension Raspberry &amp; Vanilla,"Allegra Suspension Raspberry & Vanilla is used for the relief of sneezing, runny nose, and other symptoms associated with various allergic conditions."
Alex Junior Syrup,Alex Junior Syrup is used for the treatment of dry cough.
Azicip 500 Tablet,Azicip 500 Tablet is used for the treatment of various bacterial infections.
Avil Injection,"Avil Injection is utilized for managing various allergic conditions, respiratory diseases associated with excess mucus, skin conditions characterized by inflammation and itching, and Meniere's disease."
Aquasol A Capsule,Aquasol A Capsule is used for addressing vitamin A deficiencies.
Anobliss Cream,Anobliss Cream is utilized for treating anal fissures.
Augmentin DDS Suspension,"Augmentin DDS Suspension is utilized for the treatment of resistant bacterial infections, as well as tuberculosis."
Almox 500 Capsule,Almox 500 Capsule is utilized for the treatment of bacterial infections.
AF Kit Tablet,The AF Kit Tablet is utilized for managing syndromic vaginal discharge.
Ascoril LS Junior Syrup,Ascoril LS Junior Syrup is intended for the relief of coughs accompanied by mucus.
Asthalin 100mcg Inhaler,Asthalin 100mcg Inhaler is used for the management of chronic obstructive pulmonary disease (COPD) and asthmatic conditions.
Aptimust Syrup,Aptimust Syrup is an appetite stimulant.
AB Phylline Capsule,"The AB Phylline Capsule is utilized for the treatment of asthma, bronchitis, and chronic obstructive pulmonary disease (COPD)."
Azee 200mg Dry Syrup,Azee 200mg Dry Syrup is used for the treatment of various bacterial infections.
Adaferin Gel,Adaferin Gel is used for the treatment of acne.
Amitone 10mg Tablet,"Amitone 10mg Tablet is utilized for the treatment of depression, neuropathic pain, and migraines."
Ambrodil Syrup,Ambrodil Syrup is used for the treatment of respiratory tract disorders that involve viscid mucus.
AB-Flo-N Tablet,AB-Flo-N Tablet is utilized for the management of chronic obstructive pulmonary disease (COPD).
Ascoril LS Drops,Ascoril LS Drops is utilized for the relief of acute sore throat and cough associated with mucus production.
Alex Cough Lozenges Lemon Ginger,Alex Cough Lozenges Lemon Ginger are used for the relief of dry cough symptoms.
Atorva 40 Tablet,Atorva 40 Tablet is used for managing high cholesterol levels and preventing recurrent heart attacks.
Aziderm 20% Cream,Aziderm 20% Cream is utilized for the treatment of acne.
Ascoril D Junior Cough Syrup,Ascoril D Junior Cough Syrup is designed for the relief of dry cough symptoms.
Acogut Tablet,Acogut Tablet is used for managing symptoms of Functional Dyspepsia.
Augmentin 1000 Duo Tablet,Augmentin 1000 Duo Tablet is used for the treatment of various bacterial infections.
Ano Metrogyl Cream,Ano Metrogyl Cream is utilized for the treatment of anal fissures.
Angispan - TR 2.5mg Capsule,Angispan - TR 2.5mg Capsule is utilized for the treatment of angina.
Apdrops Eye Drop,Apdrops Eye Drop is utilized for treating bacterial eye infections.
Acivir 400 DT Tablet,"Acivir 400 DT Tablet is used for the treatment of various viral infections such as Herpes simplex, Chickenpox, Herpes labialis (cold sores), Shingles, and genital herpes."
Acivir Cream,Acivir Cream is utilized for the treatment of herpes labialis (cold sores).
Avil Injection,"Avil Injection is utilized for managing a range of conditions, such as allergic reactions, respiratory diseases characterized by excessive mucus production, skin inflammations and itchiness, and Meniere's disease."
Azee 250 Tablet,Azee 250 Tablet is utilized for the treatment of various bacterial infections.
Aldigesic P 100mg/325mg Tablet,Aldigesic P 100mg/325mg Tablet is used for pain relief.
